Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,Idea Factory International,0.03,0.01,0.06,0.01,0.11,Tamsoft
Retro Game Challenge,DS,2007,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Indies Zero
NBA Jam 2002,GBA,2002,Sports,Acclaim Entertainment,0.08,0.03,0.0,0.0,0.11,DC Studios
Yogi Bear: The Video Game,Wii,2010,Action,D3Publisher,0.06,0.05,0.0,0.01,0.11,Monkey Bar Games
Shining Force NEO,PS2,2005,Role-Playing,Sega,0.06,0.04,0.0,0.01,0.11,Neverland
Pocket Soccer League: Calciobit,3DS,2012,Sports,Nintendo,0.0,0.0,0.11,0.0,0.11,Unknown
Army Men: Sarge's War,XB,2004,Shooter,Global Star,0.09,0.02,0.0,0.0,0.11,Tactical Development
Primal Rage,PS,1994,Fighting,Time Warner Interactive,0.06,0.04,0.0,0.01,0.11,Unknown
FIFA Street 2,GC,2006,Sports,Electronic Arts,0.09,0.02,0.0,0.0,0.11,EA Canada
Heart Catch PreCure! Oshare Collection,DS,2010,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Unknown
Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,Take-Two Interactive,0.1,0.01,0.0,0.01,0.11,Visual Concepts
